Time,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Tri11,Tri12,Tri13,Tri21,Tri22,Tri23,Lat,Lon,Alt,SunVect,MagVect,MagRef,SunRef,Roll,Pitch,Yaw,static_q,dynamic_q,"['Solar Panel One Flux (Raw V)', 'Solar Panel Two Flux (Raw V)', 'Solar Panel Three Flux (Raw V)', 'Solar Panel Four Flux (Raw V)']"
17:40:55.99,-27.666666666666668,19.213333333333335,-24.400000000000002,0.3190243880487805,-0.0028048778048781475,0.09699186780487812,0.011730205278592375,0.011730205278592375,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.61782831  0.44107273 -0.65095547],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.906424503956593,-55.20232923477674,167.00015779544,[ 0.87442291  0.11580848 -0.47101109  0.01102408],[ 0.87432954  0.11628073 -0.47105173  0.01170106],[0. 0. 0. 0.]
17:40:56.01,-27.666666666666668,19.213333333333335,-24.400000000000002,0.13609755878048785,0.3020731709756097,0.03601625804878056,0.011730205278592375,0.01466275659824047,0.011730205278592375,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.61782831  0.44107273 -0.65095547],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.89095371729433,-55.223994151021195,166.64939389199264,[ 0.87431876  0.11421249 -0.47152296  0.01372267],[ 0.87456921  0.11470847 -0.47093881  0.01368546],[0. 0. 0. 0.]
17:40:56.04,-27.413333333333334,19.32,-23.96,0.1970731685365854,0.18012195146341453,0.03601625804878056,0.008797653958944282,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.61786777  0.44766957 -0.64639878],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.854588918242523,-55.2748180953558,166.27781610185917,[ 0.8741138   0.11232067 -0.47226397  0.01660935],[ 0.87430297  0.11297068 -0.47176343  0.01646861],[0. 0. 0. 0.]
17:40:56.07,-27.30666666666667,19.26666666666667,-24.866666666666667,0.25804877829268297,0.11914634170731697,-0.14691057121951212,0.011730205278592375,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.60815687  0.44118355 -0.65992598],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.962676972461317,-55.123338920317686,166.15510202016398,[ 0.87455959  0.11289372 -0.47127273  0.01739383],[ 0.87458008  0.11348251 -0.47109774  0.01727215],[0. 0. 0. 0.]
17:40:56.10,-27.30666666666667,19.26666666666667,-24.866666666666667,0.25804877829268297,0.11914634170731697,-0.14691057121951212,0.011730205278592375,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.60815687  0.44118355 -0.65992598],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.962676972461317,-55.123338920317686,166.15510202016398,[ 0.87455959  0.11289372 -0.47127273  0.01739383],[ 0.87462064  0.11355699 -0.47100017  0.01738909],[0. 0. 0. 0.]
17:40:56.12,-27.386666666666667,19.28,-24.853333333333335,0.07512194902439026,0.3630487807317072,0.27991869707317085,0.011730205278592375,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.6093245   0.44101811 -0.65895878],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.954934908521974,-55.13423052943636,166.22388131963066,[ 0.87453657  0.11309924 -0.47128486  0.01687963],[ 0.87485955  0.11302318 -0.47067739  0.01758768],[0. 0. 0. 0.]
17:40:56.15,-27.413333333333334,19.28,-24.493333333333336,0.07512194902439026,0.05817073195121941,0.27991869707317085,0.008797653958944282,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.61307318  0.44329279 -0.65393637],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.91476713636915,-55.190635807680366,166.28375498438965,[ 0.87437271  0.11294475 -0.47164002  0.01647881],[ 0.87447175  0.11282405 -0.47145927  0.01720609],[0. 0. 0. 0.]
17:40:56.17,-27.346666666666668,19.30666666666667,-24.933333333333334,0.3190243880487805,-0.0028048778048781475,0.34089430682926836,0.008797653958944282,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.60787095  0.4412182  -0.6601662 ],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.964600150622854,-55.1206323773675,166.13857730562327,[ 0.87456535  0.11284498 -0.47126915  0.01751729],[ 0.874466    0.11307511 -0.47136643  0.01835551],[0. 0. 0. 0.]
17:40:56.20,-27.346666666666668,19.30666666666667,-24.933333333333334,0.3190243880487805,-0.0028048778048781475,0.34089430682926836,0.008797653958944282,0.01466275659824047,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.60787095  0.4412182  -0.6601662 ],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.964600150622854,-55.1206323773675,166.13857730562327,[ 0.87456535  0.11284498 -0.47126915  0.01751729],[ 0.87446506  0.11311191 -0.47135278  0.01852316],[0. 0. 0. 0.]
17:40:56.23,-27.30666666666667,19.333333333333336,-24.866666666666667,-0.04682927048780487,0.2410975612195121,0.40186991658536597,0.008797653958944282,0.017595307917888565,0.008797653958944282,0.0,0.0,0.0,42.75,-84.99,0.3,[0 0 1],[-0.60778845  0.44241395 -0.6594415 ],[-0.17570567  0.66702152 -0.72402335],[-0.85283551 -0.17257377  0.49283859],-21.95879864188877,-55.12879579672488,166.06588913639527,[ 0.87452909  0.112488   -0.4714005   0.01808004],[ 0.87473924  0.11211598 -0.47106902  0.01884778],[0. 0. 0. 0.]
